Id,reassignment_count,reopen_count,update_count,made_sla,opened_by,opened_at,contact_type,location,category,subcategory,impact,urgency,priority,assigned_to,knowledge,notify,vendor,target_days
INC0000130,0,0,2,True,Opened by  62,2016-02-29 09:41:00,Phone,Location 204,Category 61,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,8
INC0000131,0,0,0,True,Opened by  433,2016-02-29 09:41:00,Phone,Location 15,Category 45,Subcategory 220,2 - Medium,2 - Medium,3 - Moderate,Resolver 175,True,Do Not Notify,,8
INC0000132,0,0,0,True,Opened by  131,2016-02-29 09:42:00,Phone,Location 204,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 135,True,Do Not Notify,,8
INC0000134,0,0,2,True,Opened by  501,2016-02-29 09:44:00,Phone,Location 204,Category 62,Subcategory 192,3 - Low,3 - Low,4 - Low,Resolver 216,True,Do Not Notify,,7
INC0000135,0,0,7,True,Opened by  40,2016-02-29 09:45:00,Phone,Location 204,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 216,True,Do Not Notify,,5
INC0000137,0,0,1,True,Opened by  24,2016-02-29 09:48:00,Phone,Location 51,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000139,0,0,0,True,Opened by  131,2016-02-29 09:50:00,Phone,Location 204,Category 53,Subcategory 303,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000140,0,0,0,True,Opened by  180,2016-02-29 09:51:00,Phone,Location 79,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 94,True,Do Not Notify,,8
INC0000141,0,0,0,True,Opened by  40,2016-02-29 09:52:00,Phone,Location 93,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000146,0,0,0,True,Opened by  24,2016-02-29 09:57:00,Phone,Location 55,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000147,0,0,0,True,Opened by  40,2016-02-29 10:00:00,Phone,Location 179,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 125,True,Do Not Notify,,19
INC0000148,0,0,0,True,Opened by  501,2016-02-29 10:00:00,Phone,Location 93,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000149,0,0,0,True,Opened by  62,2016-02-29 10:01:00,Phone,Location 142,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000152,0,0,0,True,Opened by  180,2016-02-29 10:08:00,Phone,Location 51,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,Resolver 201,True,Do Not Notify,,7
INC0000153,0,0,0,True,Opened by  24,2016-02-29 10:10:00,Phone,Location 108,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000155,0,0,0,True,Opened by  180,2016-02-29 10:12:00,Phone,Location 171,Category 53,Subcategory 194,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000156,0,0,0,True,Opened by  501,2016-02-29 10:14:00,Phone,Location 93,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000158,0,0,0,True,Opened by  301,2016-02-29 10:17:00,Phone,Location 56,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000159,0,0,0,True,Opened by  180,2016-02-29 10:17:00,Phone,Location 143,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000160,0,0,0,True,Opened by  40,2016-02-29 10:18:00,Phone,Location 143,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 175,True,Do Not Notify,,5
INC0000161,0,0,0,True,Opened by  180,2016-02-29 10:18:00,Phone,Location 55,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Resolver 31,True,Do Not Notify,,24
INC0000164,0,0,3,True,Opened by  131,2016-02-29 10:18:00,Phone,Location 224,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,8
INC0000166,0,0,0,True,Opened by  501,2016-02-29 10:24:00,Phone,Location 108,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 170,True,Do Not Notify,,5
INC0000167,0,0,0,True,Opened by  24,2016-02-29 10:27:00,Phone,Location 108,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000168,0,0,0,True,Opened by  131,2016-02-29 10:27:00,Phone,Location 161,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 89,True,Do Not Notify,,5
INC0000169,0,0,0,True,Opened by  62,2016-02-29 10:30:00,Phone,Location 108,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000171,0,0,0,True,Opened by  180,2016-02-29 10:33:00,Phone,Location 55,Category 24,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,24
INC0000172,0,0,0,True,Opened by  180,2016-02-29 10:36:00,Phone,Location 224,Category 23,Subcategory 75,2 - Medium,2 - Medium,3 - Moderate,Resolver 188,True,Do Not Notify,,5
INC0000173,0,0,0,True,Opened by  4,2016-02-29 10:36:00,Phone,Location 131,Category 55,Subcategory 120,3 - Low,2 - Medium,4 - Low,Resolver 4,True,Do Not Notify,,47
INC0000174,0,0,0,True,Opened by  131,2016-02-29 10:39:00,Phone,Location 51,Category 32,Subcategory 9,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,2
INC0000176,0,0,0,True,Opened by  501,2016-02-29 10:40:00,Phone,Location 93,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000178,0,0,0,True,Opened by  180,2016-02-29 10:45:00,Phone,Location 54,Category 20,Subcategory 103,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000179,0,0,0,True,Opened by  40,2016-02-29 10:46:00,Phone,Location 143,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 236,True,Do Not Notify,,6
INC0000192,0,0,0,True,Opened by  131,2016-02-29 10:58:00,Phone,Location 143,Category 45,Subcategory 200,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000193,0,0,0,True,Opened by  62,2016-02-29 10:59:00,Phone,Location 204,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Resolver 83,True,Do Not Notify,,6
INC0000194,0,0,0,True,Opened by  180,2016-02-29 10:59:00,Phone,Location 93,Category 42,Subcategory 224,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000195,0,0,0,True,Opened by  40,2016-02-29 11:00:00,Phone,Location 136,Category 53,Subcategory 127,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000197,0,0,0,True,Opened by  131,2016-02-29 11:02:00,Phone,Location 108,Category 45,Subcategory 200,2 - Medium,2 - Medium,3 - Moderate,Resolver 170,True,Do Not Notify,,36
INC0000199,0,0,0,True,Opened by  301,2016-02-29 11:06:00,Phone,Location 204,Category 42,Subcategory 106,3 - Low,3 - Low,4 - Low,Resolver 149,True,Do Not Notify,,5
INC0000204,0,0,0,True,Opened by  501,2016-02-29 11:13:00,Phone,Location 93,Category 53,Subcategory 168,3 - Low,3 - Low,4 - Low,,True,Do Not Notify,,5
INC0000207,0,0,0,True,Opened by  131,2016-02-29 11:19:00,Phone,Location 204,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000211,0,0,0,True,Opened by  180,2016-02-29 11:23:00,Phone,Location 93,Category 23,Subcategory 3,2 - Medium,2 - Medium,3 - Moderate,Resolver 94,True,Do Not Notify,,7
INC0000213,0,0,0,True,Opened by  40,2016-02-29 11:25:00,Phone,Location 2,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000217,0,0,0,True,Opened by  301,2016-02-29 11:48:00,Phone,Location 55,Category 37,Subcategory 123,2 - Medium,2 - Medium,3 - Moderate,Resolver 31,True,Do Not Notify,,24
INC0000218,0,0,0,True,Opened by  180,2016-02-29 11:53:00,Phone,Location 93,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000220,0,0,0,True,Opened by  40,2016-02-29 11:56:00,Phone,Location 40,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 69,True,Do Not Notify,,17
INC0000221,0,0,0,True,Opened by  131,2016-02-29 11:58:00,Phone,Location 143,Category 61,Subcategory 16,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000223,0,0,0,True,Opened by  40,2016-02-29 12:01:00,Phone,Location 40,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 176,True,Do Not Notify,,7
INC0000228,0,0,0,True,Opened by  301,2016-02-29 12:11:00,Phone,Location 70,Category 26,Subcategory 175,2 - Medium,2 - Medium,3 - Moderate,Resolver 170,True,Do Not Notify,,5
INC0000230,0,0,0,True,Opened by  55,2016-02-29 12:14:00,Phone,Location 161,Category 55,Subcategory 270,2 - Medium,2 - Medium,3 - Moderate,Resolver 159,True,Do Not Notify,,24
INC0000232,0,0,0,True,Opened by  501,2016-02-29 12:20:00,Phone,Location 143,Category 45,Subcategory 200,3 - Low,3 - Low,4 - Low,,True,Do Not Notify,,24
INC0000236,0,0,0,True,Opened by  131,2016-02-29 12:26:00,Phone,Location 108,Category 45,Subcategory 223,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000237,0,0,0,True,Opened by  62,2016-02-29 12:27:00,Phone,Location 108,Category 45,Subcategory 200,2 - Medium,2 - Medium,3 - Moderate,Resolver 33,True,Do Not Notify,,6
INC0000246,0,0,0,True,Opened by  24,2016-02-29 12:41:00,Phone,Location 108,Category 20,Subcategory 103,2 - Medium,2 - Medium,3 - Moderate,Resolver 34,True,Do Not Notify,,8
INC0000250,0,0,0,True,Opened by  301,2016-02-29 12:43:00,Phone,Location 161,Category 55,Subcategory 167,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,24
INC0000253,0,0,0,True,Opened by  55,2016-02-29 12:43:00,Phone,Location 143,Category 26,Subcategory 175,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000257,0,0,0,True,Opened by  501,2016-02-29 12:48:00,Phone,Location 115,Category 37,Subcategory 144,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000259,0,0,0,True,Opened by  62,2016-02-29 12:50:00,Phone,Location 108,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 170,True,Do Not Notify,,6
INC0000260,0,0,0,True,Opened by  257,2016-02-29 12:52:00,Phone,Location 51,Category 17,Subcategory 90,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,8
INC0000261,0,0,0,True,Opened by  128,2016-02-29 12:54:00,Phone,Location 197,Category 42,Subcategory 31,1 - High,1 - High,1 - Critical,Resolver 71,True,Do Not Notify,,0
INC0000262,0,0,0,True,Opened by  40,2016-02-29 12:59:00,Phone,Location 143,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 78,True,Do Not Notify,,6
INC0000265,0,0,0,True,Opened by  55,2016-02-29 13:14:00,Phone,Location 136,Category 20,Subcategory 103,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000266,0,0,0,True,Opened by  40,2016-02-29 13:18:00,Phone,Location 143,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 78,True,Do Not Notify,,9
INC0000268,0,0,0,True,Opened by  301,2016-02-29 13:24:00,Phone,Location 59,Category 9,Subcategory 164,2 - Medium,2 - Medium,3 - Moderate,Resolver 170,True,Do Not Notify,,24
INC0000269,0,0,0,True,Opened by  301,2016-02-29 13:30:00,Phone,Location 108,Category 26,Subcategory 175,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000272,0,0,0,True,Opened by  221,2016-02-29 13:36:00,Phone,Location 143,Category 42,Subcategory 31,3 - Low,2 - Medium,4 - Low,,True,Do Not Notify,,24
INC0000273,0,0,0,True,Opened by  40,2016-02-29 13:36:00,Phone,Location 93,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,Resolver 215,True,Do Not Notify,,9
INC0000278,0,0,0,True,Opened by  433,2016-02-29 13:48:00,Phone,Location 51,Category 45,Subcategory 29,2 - Medium,2 - Medium,3 - Moderate,Resolver 134,True,Do Not Notify,,5
INC0000279,0,0,0,True,Opened by  55,2016-02-29 13:50:00,Phone,Location 108,Category 20,Subcategory 103,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000280,0,0,0,True,Opened by  301,2016-02-29 13:50:00,Phone,Location 108,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,24
INC0000282,0,0,0,True,Opened by  40,2016-02-29 13:52:00,Phone,Location 143,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000283,0,0,0,True,Opened by  386,2016-02-29 13:54:00,Phone,Location 51,Category 42,Subcategory 31,2 - Medium,2 - Medium,3 - Moderate,Resolver 183,True,Do Not Notify,,5
INC0000284,0,0,0,True,Opened by  62,2016-02-29 13:55:00,Phone,Location 143,Category 53,Subcategory 13,2 - Medium,2 - Medium,3 - Moderate,Resolver 78,True,Do Not Notify,,6
INC0000285,0,0,0,True,Opened by  55,2016-02-29 13:56:00,Phone,Location 136,Category 45,Subcategory 223,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,6
INC0000286,0,0,0,True,Opened by  40,2016-02-29 13:56:00,Phone,Location 143,Category 53,Subcategory 271,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,8
INC0000290,0,0,0,True,Opened by  301,2016-02-29 13:59:00,Phone,Location 204,Category 45,Subcategory 223,2 - Medium,2 - Medium,3 - Moderate,Resolver 149,True,Do Not Notify,,5
INC0000292,0,0,0,True,Opened by  501,2016-02-29 14:04:00,Phone,Location 143,Category 20,Subcategory 125,3 - Low,3 - Low,4 - Low,Resolver 236,True,Do Not Notify,,6
INC0000294,0,0,0,True,Opened by  240,2016-02-29 14:06:00,Phone,Location 204,Category 20,Subcategory 125,2 - Medium,2 - Medium,3 - Moderate,Resolver 57,True,Do Not Notify,,24
INC0000295,0,0,0,True,Opened by  221,2016-02-29 14:09:00,Phone,Location 93,Category 13,Subcategory 302,2 - Medium,2 - Medium,3 - Moderate,Resolver 69,True,Do Not Notify,,8
INC0000297,0,0,0,True,Opened by  221,2016-02-29 14:15:00,Phone,Location 93,Category 13,Subcategory 302,2 - Medium,2 - Medium,3 - Moderate,Resolver 69,True,Do Not Notify,,8
INC0000298,0,0,0,True,Opened by  433,2016-02-29 14:16:00,Phone,Location 204,Category 53,Subcategory 113,3 - Low,3 - Low,4 - Low,Resolver 175,True,Do Not Notify,,274
INC0000301,0,0,0,True,Opened by  221,2016-02-29 14:22:00,Phone,Location 93,Category 42,Subcategory 106,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
INC0000302,0,0,0,True,Opened by  55,2016-02-29 14:23:00,Phone,Location 93,Category 20,Subcategory 103,2 - Medium,2 - Medium,3 - Moderate,Resolver 31,True,Do Not Notify,,26
INC0000303,0,0,0,True,Opened by  325,2016-02-29 14:23:00,Phone,Location 143,Category 53,Subcategory 109,3 - Low,3 - Low,4 - Low,Resolver 159,True,Do Not Notify,,24
INC0000304,0,0,0,True,Opened by  221,2016-02-29 14:25:00,Phone,Location 93,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,Resolver 69,True,Do Not Notify,,8
INC0000305,0,0,0,True,Opened by  221,2016-02-29 14:28:00,Phone,Location 143,Category 53,Subcategory 168,2 - Medium,2 - Medium,3 - Moderate,Resolver 78,True,Do Not Notify,,9
INC0000306,0,0,0,True,Opened by  62,2016-02-29 14:28:00,Phone,Location 143,Category 23,Subcategory 3,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,7
INC0000307,0,0,0,True,Opened by  433,2016-02-29 14:30:00,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Resolver 175,True,Do Not Notify,,299
INC0000310,0,0,0,True,Opened by  433,2016-02-29 14:33:00,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Resolver 175,True,Do Not Notify,,5
INC0000315,0,0,0,True,Opened by  386,2016-02-29 14:37:00,Phone,Location 51,Category 23,Subcategory 3,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,24
INC0000317,0,0,0,True,Opened by  433,2016-02-29 14:40:00,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Resolver 175,True,Do Not Notify,,61
INC0000318,0,0,0,True,Opened by  433,2016-02-29 14:43:00,Phone,Location 204,Category 45,Subcategory 220,3 - Low,3 - Low,4 - Low,Resolver 175,True,Do Not Notify,,32
INC0000319,0,0,0,True,Opened by  62,2016-02-29 14:44:00,Phone,Location 204,Category 37,Subcategory 135,2 - Medium,2 - Medium,3 - Moderate,Resolver 83,True,Do Not Notify,,7
INC0000323,0,0,0,True,Opened by  55,2016-02-29 14:45:00,Phone,Location 93,Category 20,Subcategory 103,2 - Medium,2 - Medium,3 - Moderate,,True,Do Not Notify,,5
